Date,MinTemp,Day,Energy
11/15/2009,4.6,Sun,27.64812583
11/16/2009,6.9,Mon,29.33981457
11/17/2009,7.2,Tue,28.45913245
11/18/2009,6.4,Wed,27.66625166
11/19/2009,7,Thu,28.91890728
11/20/2009,9.5,Fri,31.30388742
11/21/2009,7.4,Sat,31.68907947
11/22/2009,7.7,Sun,28.01130464
11/23/2009,8.1,Mon,29.0387947
11/24/2009,8.4,Tue,28.81265563
11/25/2009,6.9,Wed,28.62235099
11/26/2009,5.5,Thu,28.35809934
11/27/2009,4,Fri,31.28045033
11/28/2009,0.6,Sat,32.80576159
11/29/2009,0.7,Sun,30.08934437
11/30/2009,0.6,Mon,31.7301457
12/1/2009,-1.8,Tue,31.85240397
12/2/2009,5.4,Wed,31.76331126
12/3/2009,2.1,Thu,31.71207285
12/4/2009,-1.3,Fri,33.01190728
12/5/2009,2.9,Sat,32.92098013
12/6/2009,6.4,Sun,31.80888742
12/7/2009,6.4,Mon,31.4591457
12/8/2009,5.6,Tue,31.36336424
12/9/2009,8.8,Wed,30.01215894
12/10/2009,2.4,Thu,29.78455629
12/11/2009,2.6,Fri,32.0883245
12/12/2009,2.6,Sat,32.59770199
12/13/2009,1.2,Sun,30.45494702
12/14/2009,0.9,Mon,31.59568212
12/15/2009,2.2,Tue,30.94445695
12/16/2009,3.9,Wed,30.34376821
12/17/2009,4,Thu,31.73603311
12/18/2009,1.5,Fri,35.36038411
12/19/2009,-0.4,Sat,35.46821192
12/20/2009,-1.6,Sun,34.54360265
12/21/2009,-0.2,Mon,35.77538411
12/22/2009,-0.6,Tue,37.85183444
12/23/2009,-2.5,Wed,37.48629801
12/24/2009,-1.7,Thu,44.89235099
12/25/2009,-4.3,Fri,46.76448344
12/26/2009,-4.1,Sat,41.73186755
12/27/2009,2.9,Sun,36.39882781
12/28/2009,-3.3,Mon,36.27206623
12/29/2009,-2.8,Tue,34.46529801
12/30/2009,3.7,Wed,33.84280795
12/31/2009,3.1,Thu,34.67317881
1/1/2010,-1.9,Fri,27.31275497
1/2/2010,-2.6,Sat,27.09770861
1/3/2010,-1.1,Sun,26.74455629
1/4/2010,-2.4,Mon,27.02113907
1/5/2010,-2.1,Tue,26.36815232
1/6/2010,-1.3,Wed,26.52723841
1/7/2010,-4.7,Thu,25.74436424
1/8/2010,-6.4,Fri,25.93889404
1/9/2010,-7.9,Sat,26.86191391
1/10/2010,-3.5,Sun,27.14852318
1/11/2010,2.4,Mon,26.00271523
1/12/2010,2.7,Tue,26.04048344
1/13/2010,1.9,Wed,25.6742649
1/14/2010,0,Thu,25.29055629
1/15/2010,0.7,Fri,25.22292715
1/16/2010,7.2,Sat,25.6882053
1/17/2010,5.2,Sun,24.97974172
1/18/2010,5.4,Mon,25.11823179
1/19/2010,3.5,Tue,25.31311258
1/20/2010,5.8,Wed,25.15980795
1/21/2010,1.4,Thu,24.85582119
1/22/2010,2,Fri,25.29119868
1/23/2010,0.7,Sat,25.03212583
1/24/2010,0.1,Sun,24.9917947
1/25/2010,-0.7,Mon,25.31743046
1/26/2010,-0.5,Tue,24.87319205
1/27/2010,-0.7,Wed,25.02123179
1/28/2010,4.2,Thu,24.89861589
1/29/2010,4.4,Fri,24.87423841
1/30/2010,-1,Sat,24.80235762
1/31/2010,-1,Sun,24.93171523
2/1/2010,0,Mon,25.37025166
2/2/2010,1.8,Tue,25.33005298
2/3/2010,3.4,Wed,24.7072053
2/4/2010,1.2,Thu,25.18868874
2/5/2010,2.5,Fri,25.27117881
2/6/2010,3.9,Sat,25.04447682
2/7/2010,0.9,Sun,24.6491457
2/8/2010,3.9,Mon,25.32045033
2/9/2010,3.4,Tue,25.17238411
2/10/2010,-0.7,Wed,24.91254305
2/11/2010,-2.1,Thu,24.8775298
2/12/2010,-0.5,Fri,25.01833775
2/13/2010,2.2,Sat,25.11590066
2/14/2010,0.7,Sun,24.60664238
2/15/2010,2,Mon,24.75639735
2/16/2010,0.6,Tue,24.6451457
2/17/2010,-2.4,Wed,24.34859603
2/18/2010,-2.4,Thu,24.73550993
2/19/2010,-1,Fri,25.14872185
2/20/2010,-2.3,Sat,25.26153642
2/21/2010,0.5,Sun,24.51182119
2/22/2010,-2.6,Mon,24.99676821
2/23/2010,-0.1,Tue,24.59933775
2/24/2010,1.7,Wed,24.57639073
2/25/2010,0.8,Thu,24.8643245
2/26/2010,0.9,Fri,24.74661589
2/27/2010,-0.1,Sat,24.52131126
2/28/2010,-0.6,Sun,24.5
3/1/2010,-1.3,Mon,24.79878808
3/2/2010,-2.7,Tue,24.53366887
3/3/2010,1.8,Wed,24.54792715
3/4/2010,-1.6,Thu,24.16424503
3/5/2010,-1.9,Fri,24.58268212
3/6/2010,1.3,Sat,24.59306623
3/7/2010,2.7,Sun,24.24949007
3/8/2010,-4.6,Mon,24.71869536
3/9/2010,-4,Tue,24.53184106
3/10/2010,-2.2,Wed,23.88574834
3/11/2010,-2.7,Thu,24.65101325
3/12/2010,1.9,Fri,23.97283444
3/13/2010,4.3,Sat,24.09497351
3/14/2010,2.6,Sun,23.20521192
3/15/2010,3,Mon,24.32764238
